	cluster
MPP-MEP__PT08__Diagnosis	U1
B Memory-2__HTO6-SRR16208954	U1
MultiLin-GMP-2__AML-10	U1
BMCP-1__2270_Aft36_P71F	U1
Erythroblast-3__PAXMIJ-Relapse	U1
LMPP-1-cycling__PT08__Diagnosis	U1
MultiLin-GMP-3__AML-10	U1
Multilin-1__AML-10	U1
B Memory-2__HTO5-SRR16208955	U1
MEP-2__1906_Aft82_P36M	U1
MEP-Eryth-2__1906_Aft82_P36M	U1
MDP-1__AML9	U1
MEP-1__AML9	U1
MPP-MEP__AML-13	U1
cDC2-1__AML-10	U1
BMCP-1__AML-13	U1
pre-B__PAXMIJ-Relapse	U1
MEP-Eryth-2__ETP9153	U1
B Memory-1__PAXMIJ	U1
MPP-MEP__AML-12	U1
MEP-2__AML-12	U1
MEP-1__AML-12	U1
Erythroblast-3__PAXMIJ	U1
LMPP-1__MDS1123	U1
Erythroblast-3__AML-16	U1
LMPP-1-cycling__MDS1123	U1
MEP-Eryth-2__1239_EST8_44M_N1c	U1
Multilin-2__MDS585	U1
MultiLin-GMP-3__MDS585	U1
MultiLin-GMP-2__MDS585	U1
MPP-MEP__MDS585	U1
ERP-6__2853_Aft36_P71F	U1
Erythroblast-3__PAUMTZ-EoT	U1
ERP-6__PT12__Diagnosis	U1
LMPP-1__AML3948	U1
MEP-Eryth-2__MDS585	U1
BMCP-1__2853_Aft36_P71F	U1
LMPP-1-cycling__AML3948	U1
MEP-2__MDS585	U1
NK-Mature__PT12__D30	U1
Mono-2__PT12__D30	U1
MEP-1__AML3948	U1
MDP-2__PT12__D30	U1
MEP-Eryth-2__AML3948	U1
NK-Mature__PT12_PT13__D14	U1
MPP-MEP__AML3948	U1
MKP-early__PT12_PT13__D14	U1
LMPP-1-cycling__MDS585	U1
LMPP-1__MDS585	U1
ERP-8__PT12_PT13__D14	U1
ERP-7__PT12_PT13__D14	U1
ERP-4__PT12_PT13__D14	U1
Erythroblast-3__P03__Relapse	U1
MEP-1__AML-08	U1
T CD4 Naive-1__2698_EInv16_P47M	U1
MEP-2__1239_EST8_44M_N1c	U1
ERP-1__PT11__Diagnosis	U1
MEP-1__1239_EST8_44M_N1c	U1
MEP-2__PT12__Diagnosis	U1
Plasma Cell__1102_E_N1c	U1
MEP-1__287_AfInv_P53F_N1c	U1
Plasma Cell__AML3133	U1
Intermediate Mono-2__P26__Diagnosis	U1
ERP-8__NA-SRR16208929	U1
ERP-8__P26__Relapse	U1
Intermediate Mono-2__1147_EInv16_44M	U1
MSC Fibroblast-1__AML3730	U1
CD4 TCM__287_AfInv_P53F_N1c	U1
Erythroblast-2__P26__Relapse	U1
MAIT__AML-07	U1
MEP-2__PT13__Diagnosis	U1
MEP-1__PT13__Diagnosis	U1
preNeu__2853_Aft36_P71F	U1
MEP-1__1147_EInv16_44M	U1
MEP-2__1147_EInv16_44M	U1
MEP-1__AML-07	U1
MEP-2__AML-07	U1
Plasma Cell__2853_Aft36_P71F	U1
ERP-2__PT13__Diagnosis	U1
ERP-1__PT13__Diagnosis	U1
MEP-Eryth-2__AML-07	U1
Erythroblast-1__NA-SRR16208928	U1
MEP-2__AML-17-D2	U1
ERP-8__NA-SRR16208928	U1
MPP-MEP__2853_Aft36_P71F	U1
MPP-1__2853_Aft36_P71F	U1
preNeu__MDS585	U1
MPP-MEP__PT12__Diagnosis	U1
MEP-1__PT12__Diagnosis	U1
MEP-Eryth-2__143_AfST8_P64M	U1
pre-DC-2__PT11__D30	U1
Plasma Cell__AML3948	U1
BMCP-1__171_Af_N1c	U1
MultiLin-GMP-3__MDS1123	U1
LMPP-1__AML-09	U1
MultiLin-GMP-2__MDS1123	U1
CD4 TCM__2698_EInv16_P47M	U1
LMPP-1__PT10__Diagnosis	U1
MultiLin-GMP-1__MDS1123	U1
MEP-2__AML4340	U1
MAIT__AML-09	U1
MEP-2__171_Af_N1c	U1
MPP-MEP__MDS1123	U1
MEP-1__AML-09	U1
T CD4 Naive-1__PAUMTZ	U1
Plasma Cell__PT10__D14	U1
MEP-2__AML-09	U1
ERP-8__PAWWEE	U1
MPP-1__AML-09	U1
MPP-MEP__AML-09	U1
MEP-1__AML4897	U1
MEP-2__MDS1123	U1
Plasma Cell__2660_Ast82_38M	U1
Plasma Cell__AML4897	U1
MultiLin-GMP-3__AML-09	U1
MKP-early__PT09__Diagnosis	U1
BMCP-1__1744_E_N1c	U1
BMCP-1__AML4	U1
MEP-2__PT09__Diagnosis	U1
MEP-1__PT09__Diagnosis	U1
MEP-2__PAWWEE	U1
LMPP-1-cycling__PT10__Diagnosis	U1
Erythroblast-3__AML-09	U1
MEP-1__PT10__Diagnosis	U1
MEP-2__PT10__Diagnosis	U1
MEP-2__AML-08	U1
cDC2-2__PT11__D30	U1
cDC2-1__PT11__D30	U1
MEP-Eryth-2__AML-08	U1
CD4 TCM__MDS585	U1
NK-Mature__PT11__D30	U1
Myeloid intermediate 3__PT11__D30	U1
Myeloid intermediate 2__PT11__D30	U1
Multilin-1__PT11__D30	U1
BMCP-1__MDS585	U1
MPP-2__PT11__D30	U1
MPP-1__PT11__D30	U1
Plasma Cell__AML-08	U1
MDP-6__PT11__D30	U1
MEP-Eryth-2__AML12	U1
preNeu__MDS1123	U1
BMCP-1__PAUMTZ	U1
MEP-2__2698_EInv16_P47M	U1
ASDC__PT11__D30	U1
MEP-1__1702-Et922-66F	U1
MEP-2__1702-Et922-66F	U1
MEP-Eryth-2__1702-Et922-66F	U1
MKP-early__1702-Et922-66F	U1
Erythroblast-3__PT10__Relapse	U1
Erythroblast-2__PT10__Relapse	U1
Erythroblast-1__PT10__Relapse	U1
Erythroblast-3__PAUMTZ	U1
pDC__AML-08	U1
Multilin-1__MDS1123	U1
MPP-MEP__PT10__Diagnosis	U1
B Memory-1__PAUMTZ	U1
LMPP-1-cycling__452198__Diagnosis	U1
preNeu__AML1540	U1
ERP-5__AML-22	U1
Intermediate Mono-2__P08__Diagnosis	U1
LMPP-1-cycling__P08__Diagnosis	U1
LMPP-1-cycling__596_E_N1c	U1
Mono-2__10DD-1002__Treatment	U1
B Memory-2__hashtag4-SRR16208950	U1
MEP-2__P08__Diagnosis	U1
MEP-1__AML0361	U1
MEP-2__AML0361	U1
MEP-Eryth-2__P02__Diagnosis	U1
MEP-Eryth-2__P08__Diagnosis	U1
MPP-2__P08__Diagnosis	U1
MPP-MEP__P08__Diagnosis	U1
T CD8 Naive__AML-24	U1
MEP-1__869586__Diagnosis	U1
MEP-Eryth-1__869586__Diagnosis	U1
cDC2-1__568_AfInv16_P24M	U1
MPP-2__P08__Relapse	U1
T CD8 Naive__568_AfInv16_P24M	U1
Plasma Cell__568_AfInv16_P24M	U1
MEP-2__hashtag3-SRR16208967	U1
NK-Mature__P08__Relapse	U1
MEP-2__P02__Diagnosis	U1
MEP-2__P09__Diagnosis	U1
MEP-Eryth-2__P09__Diagnosis	U1
MEP-1__P02__Diagnosis	U1
Mono-2__568_AfInv16_P24M	U1
MPP-MEP__568_AfInv16_P24M	U1
Erythroblast-2__AML-24	U1
Erythroblast-1__AML-24	U1
MEP-Eryth-2__10DD-1002__Treatment	U1
MEP-2__10DD-1002__Treatment	U1
MEP-1__10DD-1002__Treatment	U1
Intermediate Mono-1__P08__Diagnosis	U1
MEP-2__P06__Relapse	U1
Erythroblast-1__AML028	U1
Erythroblast-2__AML028	U1
MPP-MEP__727_EInv16_35M	U1
MEP-1__727_EInv16_35M	U1
MPP-MEP__P06__Relapse	U1
ERP-7__10DD-1002__Diagnosis	U1
B Memory-2__hashtag4-SRR16208964	U1
T CD4 Naive-1__hashtag4-SRR16208958	U1
B Memory-2__AML0024	U1
T CD4 Naive-1__AML028	U1
MPP-MEP__hashtag4-SRR16208958	U1
MEP-1__10DD-1002__Diagnosis	U1
Classical-Mono__P07__Relapse	U1
MEP-2__568_AfInv16_P24M	U1
Mono-2__10DD-1002__Diagnosis	U1
Plasma Cell__596_E_N1c	U1
MEP-2__P07__Relapse	U1
Non-Classical Mono-1__P07__Relapse	U1
cDC2-2__P07__Relapse	U1
MEP-Eryth-2__AML-7_CCHMC	U1
MEP-2__AML-7_CCHMC	U1
Erythroblast-1__P08__Diagnosis	U1
Erythroblast-2__P08__Diagnosis	U1
MEP-1__AML-7_CCHMC	U1
Intermediate Mono-3__10DD-1002__Treatment	U1
HSC-2__P08__Diagnosis	U1
MPP-MEP__596_E_N1c	U1
Erythroblast-3__hashtag4-SRR16208950	U1
MEP-2__596_E_N1c	U1
MEP-1__P07__Relapse	U1
MPP-MEP__hashtag4-SRR16208964	U1
ERP-8__AML-24	U1
B Memory-2__AML-24	U1
ERP-1__869922__Diagnosis	U1
ERP-2__869922__Diagnosis	U1
MEP-2__P10__Diagnosis	U1
Erythroblast-3__AML051	U1
MEP-Eryth-2__P10__Diagnosis	U1
MEP-2__AML051	U1
MEP-Eryth-2__AML051	U1
MPP-MEP__AML051	U1
MPP-MEP__P10__Diagnosis	U1
MPP-MEP__P10__Relapse	U1
B Memory-2__hashtag3-SRR16208959	U1
MultiLin-GMP-3__AML-21	U1
MPP-MEP__AML-21	U1
Multilin-1__P10__Relapse	U1
ERP-2__P11__Diagnosis	U1
cDC2-2__550_EInv16_38M	U1
MEP-Eryth-2__AML-21	U1
MEP-2__AML-21	U1
MEP-1__AML-21	U1
LMPP-1__AML-21	U1
cDC2-1__550_EInv16_38M	U1
MKP-early__AML052	U1
MKP-late__AML052	U1
MEP-2__10DD-1009__Relapse	U1
ERP-8__P11__Diagnosis	U1
T CD8 Naive__550_EInv16_38M	U1
Erythroblast-1__AML055	U1
Erythroblast-3__AML055	U1
Erythroblast-1__P11__Diagnosis	U1
ERP-3__AML-22	U1
ERP-4__AML-22	U1
ERP-6__AML-22	U1
Erythroblast-3__hashtag3-SRR16208959	U1
MPP-MEP__AML038	U1
MEP-1__568_AfInv16_P24M	U1
Erythroblast-3__P02__Diagnosis	U1
Osteoblast__AML038	U1
MEP-2__hashtag3-SRR16208965	U1
ERP-8__AML043	U1
Erythroblast-1__AML043	U1
MEP-1__AML-23	U1
Classical-Mono__568_AfInv16_P24M	U1
CD4 TCM__568_AfInv16_P24M	U1
MPP-MEP__AML043	U1
