	cluster
Intermediate Mono-1__PT09__Diagnosis	U14
Non-Classical Mono-1__hashtag3-SRR16208949	U14
cDC1__AML2451	U14
Myeloid intermediate 3__AML2451	U14
Myeloid intermediate 2__AML2451	U14
Mono-1__AML2451	U14
MDP-1__AML2451	U14
CD8 TEM__AML1552	U14
MDP-1__hashtag3-SRR16208959	U14
cMOP__PT09__Diagnosis	U14
Non-Classical Mono-2__AML008	U14
Mono-2__AML008	U14
Non-Classical Mono-2__AML0656	U14
MDP-1__AML026	U14
Classical-Mono__AML056	U14
Non-Classical Mono-2__10DD-1014__Diagnosis	U14
MDP-1__AML033	U14
MultiLin-GMP-1__10DD-1079__Diagnosis	U14
LMPP-2__AML051	U14
Intermediate Mono-3__AML038	U14
Mono-1__AML038	U14
MultiLin-GMP-1__AML048	U14
MDP-1__AML048	U14
Mono-2__AML038	U14
Non-Classical Mono-2__Pt-69_Dx	U14
Myeloid intermediate 2__AML038	U14
Non-Classical Mono-2__Pt-16_Dx	U14
Non-Classical Mono-1__hashtag4-SRR16208949	U14
Non-Classical Mono-1__AML043	U14
cMOP__PT17__D14	U14
Mono-2__AML056	U14
MultiLin-GMP-1__AML056	U14
Non-Classical Mono-2__AML056	U14
Non-Classical Mono-1__AML0693	U14
MultiLin-GMP-1__AML0693	U14
Pro-B-1__AML026	U14
MSC Fibroblast-1__AML0693	U14
cDC1__PAXMIJ-Relapse	U14
MDP-1__AML0693	U14
Myeloid intermediate 3__PAXMIJ-Relapse	U14
LMPP-2__AML026	U14
Osteoblast__827494__Diagnosis	U14
Myeloid intermediate 2__PAXMIJ-Relapse	U14
Mono-2__PAXMIJ-Relapse	U14
Mono-1__PAXMIJ-Relapse	U14
Mono-1__AML028	U14
MDP-1__PAXMIJ-Relapse	U14
MultiLin-GMP-1__AML028	U14
Myeloid intermediate 2__AML028	U14
MDP-1__376_Af_N1c	U14
Non-Classical Mono-1__AML2123	U14
cDC1__AML009	U15
Non-Classical Mono-2__AML-24	U15
Non-Classical Mono-2__AML-22	U15
Non-Classical Mono-2__AML009	U15
Intermediate Mono-3__AML-22	U15
MDP-2__AML009	U15
Intermediate Mono-1__AML009	U15
Intermediate Mono-2__AML-23	U15
Intermediate Mono-2__AML-22	U15
Intermediate Mono-1__AML-22	U15
cDC2-1__AML-23	U15
Classical-Mono__AML-22	U15
cDC2-2__AML-21	U15
cDC2-1__AML-21	U15
cDC1__AML-21	U15
Non-Classical Mono-2__AML-21	U15
Myeloid intermediate 2__AML-21	U15
Intermediate Mono-3__AML-21	U15
Intermediate Mono-1__AML-21	U15
cDC2-1__AML005	U15
Intermediate Mono-2__AML005	U15
Intermediate Mono-2__AML13	U15
B Memory-1__AML1540	U15
Intermediate Mono-1__AML1540	U15
LMPP-2__AML1540	U15
Non-Classical Mono-2__AML1540	U15
Intermediate Mono-2__AML-24	U15
cDC2-1__AML003	U15
MDP-1__452198__Diagnosis	U15
Intermediate Mono-2__AML-21	U15
Intermediate Mono-2__AML-01	U15
Intermediate Mono-1__AML-14	U15
Intermediate Mono-2__AML-14	U15
Intermediate Mono-3__AML-14	U15
Classical-Mono__hashtag2-SRR16208964	U15
Intermediate Mono-2__AML-19	U15
MDP-2__AML-14	U15
Mono-1__AML-14	U15
Classical-Mono__AML-14	U15
Mono-2__AML-14	U15
Classical-Mono__AML-19	U15
Myeloid intermediate 2__AML-14	U15
Non-Classical Mono-2__AML-14	U15
cDC1__AML-14	U15
cDC2-1__AML-14	U15
pre-DC-2__AML-14	U15
Non-Classical Mono-2__10DD-1003__Diagnosis	U15
Intermediate Mono-1__AML-19	U15
Intermediate Mono-1__10DD-1003__Diagnosis	U15
Intermediate Mono-3__AML-19	U15
Non-Classical Mono-2__AML-19	U15
Intermediate Mono-2__AML-12	U15
Intermediate Mono-3__AML-12	U15
Intermediate Mono-1__PT08__Relapse	U15
Intermediate Mono-1__PT10__Diagnosis	U15
Intermediate Mono-3__PT10__Diagnosis	U15
Mono-2__PT10__Diagnosis	U15
Non-Classical Mono-2__PT10__Diagnosis	U15
Mono-2__AML-19	U15
Intermediate Mono-1__AML-01	U15
cDC1__AML-19	U15
Non-Classical Mono-2__AML-12	U15
cDC1__AML-12	U15
Intermediate Mono-2__AML-13	U15
Myeloid intermediate 2__AML-13	U15
Non-Classical Mono-2__AML-13	U15
cDC1__AML-13	U15
MDP-2__AML-12	U15
Intermediate Mono-1__hashtag4-SRR16208958	U15
Non-Classical Mono-2__hashtag4-SRR16208958	U15
cDC1__hashtag4-SRR16208958	U15
Intermediate Mono-2__NA-SRR16208929	U15
Intermediate Mono-3__NA-SRR16208929	U15
Mono-2__NA-SRR16208929	U15
cDC2-1__1036_EInv16_22M	U15
Non-Classical Mono-2__NA-SRR16208929	U15
Non-Classical Mono-2__1036_EInv16_22M	U15
cDC2-1__NA-SRR16208929	U15
Intermediate Mono-1__NA-SRR16208929	U15
Mono-2__AML-18	U15
Non-Classical Mono-2__AML-17	U15
Mono-2__AML-17	U15
Intermediate Mono-3__AML-17	U15
Intermediate Mono-2__AML-17	U15
Intermediate Mono-1__AML-17	U15
Classical-Mono__AML-17	U15
Intermediate Mono-2__1036_EInv16_22M	U15
Intermediate Mono-1__AML-18	U15
Classical-Mono__NA-SRR16208929	U15
cDC2-1__NA-SRR16208928	U15
Non-Classical Mono-2__NA-SRR16208928	U15
Intermediate Mono-3__hashtag4-SRR16208964	U15
Non-Classical Mono-2__hashtag4-SRR16208964	U15
Classical-Mono__AML-16	U15
Intermediate Mono-1__AML-16	U15
Intermediate Mono-2__AML-16	U15
Intermediate Mono-3__AML-16	U15
Mono-2__AML-16	U15
Non-Classical Mono-2__AML-16	U15
cDC1__AML-16	U15
pre-DC-2__AML-18	U15
cDC2-1__AML-18	U15
cDC1__AML-18	U15
Non-Classical Mono-2__AML-18	U15
MultiLin-GMP-1__AML-18	U15
Classical-Mono__NA-SRR16208928	U15
Intermediate Mono-1__NA-SRR16208928	U15
Intermediate Mono-2__NA-SRR16208928	U15
Intermediate Mono-1__AML-12	U15
cDC1__AML-12_CCHMC	U15
Intermediate Mono-2__AML-08	U15
Classical-Mono__AML-10	U15
Intermediate Mono-2__AML-10	U15
cDC1__AML-04	U15
Mono-1__AML-07	U15
Mono-2__AML-07	U15
cDC1__AML-07	U15
cMOP__AML-07	U15
Non-Classical Mono-2__AML-04	U15
Intermediate Mono-3__AML-04	U15
Intermediate Mono-1__AML-07	U15
Non-Classical Mono-2__AML-10	U15
Intermediate Mono-1__AML-10	U15
Mono-2__AML-08	U15
Intermediate Mono-1__AML-08	U15
Intermediate Mono-2__AML-04	U15
Non-Classical Mono-2__AML-02	U15
Classical-Mono__AML-02	U15
Intermediate Mono-1__P04__Diagnosis	U15
cDC2-1__AML-19	U15
MDP-3__10DD-1070__Treatment	U17
HSC-2__430998__Diagnosis	U17
MPP-1__10DD-1010__Relapse	U17
MPP-MEP__10DD-1010__Relapse	U17
MultiLin-GMP-1__10DD-1010__Relapse	U17
LMPP-1-cycling__430998__Diagnosis	U17
MDP-2__10DD-1085__Diagnosis	U17
MDP-2__10DD-1070__Treatment	U17
cDC2-2__332131__Diagnosis	U17
Myeloid intermediate 3__10DD-1009__Relapse	U17
cDC1__332131__Diagnosis	U17
MultiLin-GMP-2__332131__Diagnosis	U17
MPP-MEP__332131__Diagnosis	U17
MEP-1__332131__Diagnosis	U17
MDP-2__332131__Diagnosis	U17
LMPP-1__332131__Diagnosis	U17
MultiLin-GMP-1__P20__Diagnosis	U17
MPP-MEP__10DD-1051__Diagnosis	U17
